Level1	Level2	Level3	SEED_Function	P08	S19	P18	C08	S04
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	Alanine_racemase_(EC_5.1.1.1)	2.277777778	4.833333333	6.333333333	0.555555556	2.616666667
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	Alanine_racemase_(EC_5.1.1.1)_##_biosynthetic	1.896825397	6.583333333	1.833333333	3.788888889	2.433333333
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	Alanine_racemase_(EC_5.1.1.1)_##_catabolic	2.285714286	0	1.666666667	0.333333333	0.916666667
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	Branched-chain_amino_acid_aminotransferase_(EC_2.6.1.42)	2.60821662	2.335816329	5.425036075	1.227777778	2.75872167
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	Cysteine_desulfurase_(EC_2.8.1.7)	1.993686869	3.181818182	2.86482684	7.052453102	2.210519056
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	"Cysteine_desulfurase_(EC_2.8.1.7),_IscS_subfamily"	1.406316215	2.634253102	0.317099567	0.194444444	2.477428633
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	"Cysteine_desulfurase_(EC_2.8.1.7),_NifS_subfamily"	0	0.320512821	0	0	1.2
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	"Cysteine_desulfurase_(EC_2.8.1.7),_SufS_subfamily"	1.350793651	1.916666667	3.4875	1.326190476	3.031746032
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	Cysteine_desulfurase_(EC_2.8.1.7)_#_frameshift	0	0.018518519	0	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	"Cysteine_desulfurase_CsdA-CsdE_(EC_2.8.1.7),_main_protein_CsdA"	0.653846154	1.277777778	0.375	1.083333333	2.002777778
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	HTH-type_transcriptional_regulator_IlvY	2	13	4	2	9
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	L-alanine:glyoxylate_aminotransferase_(EC_2.6.1.44)	0	0.333333333	0.833333333	0	0.333333333
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	"Transcriptional_regulator_IlvY,_LysR_family"	0	3	2	0	1
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine_ligase_(EC_6.3.2.10)_/_Alanine_racemase_(EC_5.1.1.1)"	0.25	0.5	0	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	Valine--pyruvate_aminotransferase_(EC_2.6.1.66)	6.433333333	4.433333333	6.166666667	0.333333333	7.595238095
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Alanine biosynthesis	Valine--pyruvate_aminotransferase_(EC_2.6.1.66)_##_AvtA	1	1	2.5	1	0.111111111
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine Biosynthesis	2-amino-3-ketobutyrate_coenzyme_A_ligase_(EC_2.3.1.29)	12.79795009	11.77301587	6.5	6.175	13.35128205
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine Biosynthesis	3-hydroxy-D-aspartate_aldolase_(EC_4.1.3.41)	0	0	0	0.333333333	1.5
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine Biosynthesis	L-allo-threonine_aldolase_(EC_4.1.2.49)	0	0.333333333	0.333333333	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine Biosynthesis	L-threonine_3-dehydrogenase_(EC_1.1.1.103)	6.5	10	6	6	12
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine Biosynthesis	Low-specificity_L-threonine_aldolase_(EC_4.1.2.48)	2.333333333	2.833333333	4.2	1.5	5.583333333
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine Biosynthesis	Serine_hydroxymethyltransferase_(EC_2.1.2.1)	1.040221987	1.003152104	1.084048912	1.005050505	1.140243632
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	2-amino-3-ketobutyrate_coenzyme_A_ligase_(EC_2.3.1.29)	6.797950089	11.77301587	5.5	6.075	9.351282051
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Amino_acid_permease_family_protein	0	0	0	0	0.5
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Amino_acid_transport_protein_/_Serine_transport_protein	2.533333333	4	0.493333333	0.333333333	0.491666667
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Aminomethyltransferase_(glycine_cleavage_system_T_protein)_(EC_2.1.2.10)	6.828571429	18.71666667	9.776623377	14.5	10.15
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Cystathionine_beta-synthase_(EC_4.2.1.22)	0.4	1.45	0.8	2.5	1.466666667
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Cystathionine_gamma-lyase_(EC_4.4.1.1)	1.466666667	3.2	6.24047619	2.839393939	9.8
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	D-3-phosphoglycerate_dehydrogenase_(EC_1.1.1.95)	2.301190476	8.869444444	3.475	2.270707071	5.80075188
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	D-serine/D-alanine/glycine_transporter	15.5	2.5	4	2	8.5
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	D-serine_dehydratase_transcriptional_activator	8.5	13.75	8	3.5	9.5
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	D-serine_permease_DsdX	10	3	6	2	4
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Glycerate_kinase_(EC_2.7.1.31)	0.821428571	1.766666667	0.142857143	0.428571429	2.182813355
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Glycine_cleavage_system_H_protein	2.119047619	3.4	4.416666667	2.25	3.666666667
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Glycine_dehydrogenase_[decarboxylating]_(glycine_cleavage_system_P2_protein)_(EC_1.4.4.2)	0	0	0.416666667	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Glycine_dehydrogenase_[decarboxylating]_(glycine_cleavage_system_P_protein)_(EC_1.4.4.2)	7.751298701	24.22216446	12.22777778	13.17101449	24.53483709
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	"L-serine_dehydratase,_beta_subunit_(EC_4.3.1.17)_/_L-serine_dehydratase,_alpha_subunit_(EC_4.3.1.17)"	11.16778003	9.613943062	6.291880342	4.416666667	15.26303455
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	L-serine_dehydratase_(EC_4.3.1.17)	11.58940332	7.848282884	6.556715507	2.083333333	8.936363212
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	L-serine_dehydratase_1_(EC_4.3.1.17)	0.137073453	1	0	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	L-threo-3-hydroxyaspartate_ammonia-lyase_(EC_4.3.1.16)	0.833333333	0.833333333	0.25	0.25	0.333333333
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Monoamine_oxidase_(1.4.3.4)	0	0	0.833333333	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Phosphoserine_aminotransferase_(EC_2.6.1.52)	1.166666667	1	1.666666667	1.5	1.666666667
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Phosphoserine_phosphatase_(EC_3.1.3.3)	8.608333333	9.166666667	4.5	2.119047619	6.466666667
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Predicted_protein	0	0	0.333333333	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Probable_transport_protein_YifK	0.5	0	1.5	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Serine_hydroxymethyltransferase_(EC_2.1.2.1)	2.776932112	2.986994144	2.382266973	2.065656566	1.98969546
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	"Serine_racemase_(EC_5.1.1.18)_@_L-serine_dehydratase,_(PLP)-dependent_(EC_4.3.1.17)_@_D-serine_ammonia-lyase_(EC_4.3.1.18)"	0	0	0.333333333	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	"Serine_racemase_(EC_5.1.1.18)_@_L-serine_dehydratase,_(PLP)-dependent_(EC_4.3.1.17)_@_D-serine_ammonia-lyase_(EC_4.3.1.18)_#_projected_from_mammalian_enzyme_(PMID:11054547)"	0	0	0.333333333	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	"Serine_transport_protein_##_low_affinity,_high_capacity"	0	0	0.08	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Serine_transporter	4.075	4.452380952	2.663333333	0.5	3.533333333
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Seryl-tRNA_synthetase_(EC_6.1.1.11)	0.5	1.333333333	0.476190476	0	1.733333333
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	Threonine/serine_dehydratases	0	0	0.333333333	0.5	0.5
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	"Threonine_dehydratase,_catabolic_(EC_4.3.1.19)"	9.392424242	0.5	5.236742424	1	3.668137255
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	"Threonine_dehydratase,_catabolic_(EC_4.3.1.19)_@_L-serine_dehydratase,_(PLP)-dependent_(EC_4.3.1.17)"	4.13241342	0	0.515151515	0	1.334803922
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	"Transcriptional_regulator,_LysR_family"	1	0	0	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine and Serine Utilization	pyridoxal-phosphate_dependent_enzyme_family_protein	0.583333333	0	0.733333333	0	0.333333333
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Amino_acid_transporter	0.25	0	0	0	0.5
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Aminomethyltransferase_(glycine_cleavage_system_T_protein)_(EC_2.1.2.10)	3.485714286	4.35	5.243290043	1.666666667	1.95
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Dihydrolipoamide_dehydrogenase_(EC_1.8.1.4)	0.953571429	0.937103175	1.438095238	0.95327495	2.391504329
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Dihydrolipoamide_dehydrogenase_(EC_1.8.1.4)_/_Dihydrolipoamide_dehydrogenase_of_pyruvate_dehydrogenase_complex_(EC_1.8.1.4)	0	0.479689631	0.076451497	0	0.474992443
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Dihydrolipoamide_dehydrogenase_of_branched-chain_alpha-keto_acid_dehydrogenase_(EC_1.8.1.4)_/_Dihydrolipoamide_dehydrogenase_(EC_1.8.1.4)	0	0	0	0	0.142857143
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Dihydrolipoamide_dehydrogenase_of_pyruvate_dehydrogenase_complex_(EC_1.8.1.4)_@_Dihydrolipoamide_dehydrogenase_(EC_1.8.1.4)	0.778968254	1.177268906	0.31956966	0.291666667	1.398412698
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Glycine_cleavage_system_H_protein	0.142857143	2.2	0.25	0.25	1.333333333
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Glycine_cleavage_system_transcriptional_activator_GcvA	4.982142857	5.25	4.4375	1	3.948979592
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Glycine_cleavage_system_transcriptional_antiactivator_GcvR	1.5	6	0	0	4
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Glycine_dehydrogenase_[decarboxylating]_(glycine_cleavage_system_P1_protein)_(EC_1.4.4.2)	0	0	1.333333333	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Glycine_dehydrogenase_[decarboxylating]_(glycine_cleavage_system_P2_protein)_(EC_1.4.4.2)	0	0	0.583333333	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Glycine_dehydrogenase_[decarboxylating]_(glycine_cleavage_system_P_protein)_(EC_1.4.4.2)	3.029437229	4.049533542	2.663492063	1.497101449	4.889786967
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	L-serine_dehydratase_(EC_4.3.1.17)	0.04	0.138528139	0	0	0.384537815
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Lipoate-protein_ligase_A	0.892857143	0.676190476	1.142857143	1.128571429	1.406349206
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Protein_Smp	1.75	0	0	0.5	0.5
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Serine_hydroxymethyltransferase_(EC_2.1.2.1)	2.220342965	4.895282897	2.91012622	2.405483405	4.850011074
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Smp-like_protein	0	0	0	0	0.333333333
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Sodium/glycine_symporter_GlyP	21.75	35	18	23	34
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	Sodium:alanine_symporter_family_protein	2	0	2	0	2
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	"Transcriptional_regulator,_LysR_family"	0	0	0	1	2
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	alpha-methyl-L-serine_aldolase	0	0	0	0.2	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Glycine cleavage system	putative_choline_sulfate-utilization_transcription_factor	0.25	1.666666667	0	0.5	4
Amino Acids and Derivatives	"Alanine, serine, and glycine"	"Sarcosine oxidases, monomeric and heterotetrameric"	"L-serine_dehydratase,_beta_subunit_(EC_4.3.1.17)_/_L-serine_dehydratase,_alpha_subunit_(EC_4.3.1.17)"	0.25	0	0.675213675	0.5	0.9
Amino Acids and Derivatives	"Alanine, serine, and glycine"	"Sarcosine oxidases, monomeric and heterotetrameric"	"Monomeric_sarcosine_oxidase_(EC:1.5.3.1),_curated"	2	0	0.5	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	"Sarcosine oxidases, monomeric and heterotetrameric"	Sarcosine_oxidase_alpha_subunit_(EC_1.5.3.1)	3.666666667	0.666666667	9.25	3.333333333	3
Amino Acids and Derivatives	"Alanine, serine, and glycine"	"Sarcosine oxidases, monomeric and heterotetrameric"	Sarcosine_oxidase_beta_subunit_(EC_1.5.3.1)	1.333333333	1	5.333333333	1.666666667	1
Amino Acids and Derivatives	"Alanine, serine, and glycine"	"Sarcosine oxidases, monomeric and heterotetrameric"	Sarcosine_oxidase_delta_subunit_(EC_1.5.3.1)	0.583333333	0.333333333	1.333333333	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	"Sarcosine oxidases, monomeric and heterotetrameric"	Sarcosine_oxidase_gamma_subunit_(EC_1.5.3.1)	0.333333333	0	0.333333333	0.333333333	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	"Sarcosine oxidases, monomeric and heterotetrameric"	Serine_hydroxymethyltransferase_(EC_2.1.2.1)	0.344444444	0	0.882417582	0.476190476	0.166666667
Amino Acids and Derivatives	"Alanine, serine, and glycine"	"Sarcosine oxidases, monomeric and heterotetrameric"	alpha-methyl-L-serine_aldolase	0	0	0	0.2	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Sarcosine temp	"L-serine_dehydratase,_beta_subunit_(EC_4.3.1.17)_/_L-serine_dehydratase,_alpha_subunit_(EC_4.3.1.17)"	0.25	0	0.675213675	0.5	0.9
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Sarcosine temp	"Monomeric_sarcosine_oxidase_(EC:1.5.3.1),_curated"	2	0	0.5	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Sarcosine temp	"RidA/YER057c/UK114_superfamily,_group_2,_YoaB-like_protein"	0	4	2	0	6
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Sarcosine temp	Sarcosine_oxidase_alpha_subunit_(EC_1.5.3.1)	3.666666667	0.666666667	9.25	3.333333333	3
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Sarcosine temp	Sarcosine_oxidase_beta_subunit_(EC_1.5.3.1)	1.333333333	1	5.333333333	1.666666667	1
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Sarcosine temp	Sarcosine_oxidase_delta_subunit_(EC_1.5.3.1)	0.583333333	0.333333333	1.333333333	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Sarcosine temp	Sarcosine_oxidase_gamma_subunit_(EC_1.5.3.1)	0.333333333	0	0.333333333	0.333333333	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Sarcosine temp	Serine_hydroxymethyltransferase_(EC_2.1.2.1)	0.344444444	0	0.882417582	0.476190476	0.166666667
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Sarcosine temp	alpha-methyl-L-serine_aldolase	0	0	0	0.2	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Serine Biosynthesis	D-3-phosphoglycerate_dehydrogenase_(EC_1.1.1.95)	10.09285714	16.82777778	20.01666667	10.75050505	18.51817043
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Serine Biosynthesis	Phosphoserine_aminotransferase_(EC_2.6.1.52)	1.833333333	2	5	0.5	4.2
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Serine Biosynthesis	Phosphoserine_phosphatase_(EC_3.1.3.3)	4.45	2	4.166666667	1.761904762	3.966666667
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Serine Biosynthesis	Phosphoserine_phosphatase_(EC_3.1.3.3)_/_1-acyl-sn-glycerol-3-phosphate_acyltransferase_(EC_2.3.1.51)	0	0	0.5	0	0
Amino Acids and Derivatives	"Alanine, serine, and glycine"	Serine Biosynthesis	Serine_hydroxymethyltransferase_(EC_2.1.2.1)	1.876908621	4.939690874	7.351359497	2.269119769	2.971677741
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	Acetylglutamate_kinase_(EC_2.7.2.8)	1.5	4.5	5.277777778	2.333333333	6.888888889
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	Acetylornithine_aminotransferase_(EC_2.6.1.11)	0.75	1.5	3.833333333	2.45	1
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	"Acetylornithine_aminotransferase_(EC_2.6.1.11)_/_N-succinyl-L,L-diaminopimelate_aminotransferase_(EC_2.6.1.17)"	1.380952381	0	0.111111111	0.25	0.333333333
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	"Acetylornithine_aminotransferase_(EC_2.6.1.11)_/_N-succinyl-L,L-diaminopimelate_aminotransferase_(EC_2.6.1.17)_/_Succinylornithine_transaminase_(EC_2.6.1.81)"	0.35	2.366666667	0.5	0	2.035984848
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	"Acetylornithine_aminotransferase_(EC_2.6.1.11)_@_N-succinyl-L,L-diaminopimelate_aminotransferase_(EC_2.6.1.17)"	1.071428571	0	0.111111111	0.395833333	0.333333333
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	Acetylornithine_deacetylase_(EC_3.5.1.16)	14	18	22.5	19	19.5
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	"Arginine_pathway_regulatory_protein_ArgR,_repressor_of_arg_regulon"	3.166666667	3.666666667	0.666666667	1.166666667	5.4
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	Argininosuccinate_lyase_(EC_4.3.2.1)	11.33333333	15.08333333	18	11.16666667	13.7
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	Argininosuccinate_lyase_(EC_4.3.2.1)_/_N-acetylglutamate_synthase_(EC_2.3.1.1)	1	28	0	6.5	16.85
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	Argininosuccinate_synthase_(EC_6.3.4.5)	6.999494949	5.70751634	7.528282828	2	5.614183308
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	"Argininosuccinate_synthase_(EC_6.3.4.5)_/_N-acetylglutamate_synthase,_alternative_(EC_2.3.1.1)"	0	0	0	0.333333333	0
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	Glutamate_N-acetyltransferase_(EC_2.3.1.35)_/_N-acetylglutamate_synthase_(EC_2.3.1.1)	0.5	0	4.791666667	0	1
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	Glutamate_N-acetyltransferase_(EC_2.3.1.35)_@_N-acetylglutamate_synthase_(EC_2.3.1.1)	0	0	0.583333333	0	0
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	N-acetyl-gamma-glutamyl-phosphate_reductase_(EC_1.2.1.38)	2.333333333	7.166666667	3.25	3.333333333	5.5
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	N-acetylglutamate_synthase_(EC_2.3.1.1)	10.53684211	16.5	10.83333333	5	20.16666667
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	"N-succinyl-L,L-diaminopimelate_desuccinylase_(EC_3.5.1.18)"	0.916666667	6.083333333	6.5	3.8	7.5
Amino Acids and Derivatives	"Arginine; urea cycle, polyamines"	Arginine Biosynthesis extended	"Ornithine_aminotransferase_(EC_2.6.1.13);_Succinylornithine_transaminase_(EC_2.6.1.-);_Acetylornithine_aminotransferase_(EC_2.6.1.11);_N-succinyl-L,L-diaminopimelate_aminotransferase_(EC_2.6.1.17)"	0.25	0	0	0	0
